university,program,rating,period_of_study,Start_of_studies,Diploma,language,Total_costs,location,program_link
University of Mainz,Film Studies (MA),3.0,,Winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/filmwissenschaft/uni-mainz-10257
University of Mainz,Französisch (B.A.),3.9,,,,,,,https://www.studycheck.de/studium/franzoesisch/uni-mainz-15052
University of Mainz,"French (B.Ed.)
                                                            Teaching",3.6,6 semesters,Summer & winter semester,Bachelor of Education,"German, French",,Mainz,https://www.studycheck.de/studium/franzoesisch/uni-mainz-14885
University of Mainz,"French (M.Ed.)
                                                            Teaching",3.6,4 semesters,Summer & winter semester,Master of Education,"German, French",,Mainz,https://www.studycheck.de/studium/franzoesisch/uni-mainz-7942
University of Mainz,Französisch / Lettres modernes (B.A.),3.6,,,,,,,https://www.studycheck.de/studium/franzoesisch/uni-mainz-19426
University of Mainz,French / Modern Letters (B.Ed.),5.0,6 semesters,Summer & winter semester,Bachelor of Education,"German, French",,Mainz,https://www.studycheck.de/studium/franzoesisch/uni-mainz-19427
University of Mainz,French Literature and Cultural Contacts / Lettres modernes (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/franzoesische-sprache-und-kultur/uni-mainz-19450
University of Mainz,Fine Arts (Diploma),3.8,9 semesters,Summer & winter semester,diploma,German,,Mainz,https://www.studycheck.de/studium/freie-kunst/uni-mainz-19434
University of Mainz,"Geography (B.Ed.)
                                                            Teaching",3.9,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/geographie/uni-mainz-14891
University of Mainz,Geographie (B.Sc.),3.7,,,,,,,https://www.studycheck.de/studium/geographie/uni-mainz-14355
University of Mainz,"Geographie (M.Ed.)
                                                            Lehramt",4.2,,,,,,,https://www.studycheck.de/studium/geographie/uni-mainz-7557
University of Mainz,Geographie / Géographie (B.Ed.),3.9,,,,,,,https://www.studycheck.de/studium/geographie/uni-mainz-26215
University of Mainz,Geosciences (B.Sc.),3.9,6 semesters,Summer & winter semester,Bachelor of Science,German,,Mainz,https://www.studycheck.de/studium/geowissenschaften/uni-mainz-14873
University of Mainz,Geosciences (M.Sc.),3.6,4 semesters,Summer & winter semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/geowissenschaften/uni-mainz-9326
University of Mainz,German Studies (BA),3.8,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/germanistik/uni-mainz-13511
University of Mainz,German Studies (MA),4.3,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/germanistik/uni-mainz-9925
University of Mainz,Singing – Opera and Concert (B.Mus.),,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/oper/uni-mainz-4585
University of Mainz,History (BA),4.3,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/geschichte/uni-mainz-4049
University of Mainz,"History (B.Ed.)
                                                            Teaching",3.7,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/geschichte/uni-mainz-4061
University of Mainz,History (MA),4.1,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/geschichte/uni-mainz-9792
University of Mainz,"History (M.Ed.)
                                                            Teaching",3.1,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/geschichte/uni-mainz-7937
University of Mainz,History (BA),,6 semesters,Summer & winter semester,Bachelor of Arts,"German, French",,Mainz,https://www.studycheck.de/studium/geschichte/uni-mainz-26218
University of Mainz,"History (B.Ed.)
                                                            Teaching",3.9,6 semesters,Summer & winter semester,Bachelor of Education,"German, French",,Mainz,https://www.studycheck.de/studium/geschichte/uni-mainz-26217
University of Mainz,History (MA),,4 semesters,Summer & winter semester,Master of Arts,"German, French",,Mainz,https://www.studycheck.de/studium/geschichte/uni-mainz-32604
University of Mainz,"Greek (B.Ed.)
                                                            Teaching",,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/griechisch/uni-mainz-4062
University of Mainz,"Griechisch (M.Ed.)
                                                            Lehramt",,,,,,,,https://www.studycheck.de/studium/griechisch/uni-mainz-7939
University of Mainz,Hebammenwissenschaft (B.Sc.),,,,,,,,https://www.studycheck.de/studium/hebammenwesen/uni-mainz-31667
University of Mainz,"Human Geography: Globalization, Media and Culture (MA)",3.6,4 semesters,Winter semester,Master of Arts,English,,Mainz,https://www.studycheck.de/studium/humangeographie/uni-mainz-9323
University of Mainz,"Informatik (B.Ed.)
                                                            Lehramt",3.2,,,,,,,https://www.studycheck.de/studium/informatik/uni-mainz-14892
University of Mainz,Computer Science (B.Sc.),3.4,6 semesters,Summer & winter semester,Bachelor of Science,German,,Mainz,https://www.studycheck.de/studium/informatik/uni-mainz-12550
University of Mainz,"Informatik (M.Ed.)
                                                            Lehramt",3.3,,,,,,,https://www.studycheck.de/studium/informatik/uni-mainz-7938
University of Mainz,International Economics and Public Policy (M.Sc.),4.5,,,,,,,https://www.studycheck.de/studium/international-economics/uni-mainz-9109
University of Mainz,International Master in Sociolinguistics and Multilingualism (MA),,4 semesters,Winter semester,Master of Arts,English,,Mainz,https://www.studycheck.de/studium/linguistik/uni-mainz-26221
University of Mainz,Private International Law and European Uniform Law (LL.M.),,2 semesters,Summer & winter semester,Master of Laws,German,,Mainz,https://www.studycheck.de/studium/europaeisches-und-internationales-recht/uni-mainz-19458
University of Mainz,Italienisch (B.A.),2.9,,,,,,,https://www.studycheck.de/studium/italienisch/uni-mainz-15053
University of Mainz,"Italian (B.Ed.)
                                                            Teaching",,6 semesters,Summer & winter semester,Bachelor of Education,"German, Italian",,Mainz,https://www.studycheck.de/studium/italienisch/uni-mainz-14893
University of Mainz,"Italian (M.Ed.)
                                                            Teaching",,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/italienisch/uni-mainz-7943
University of Mainz,Jazz und Populäre Musik (B.Mus.),3.9,,,,,,,https://www.studycheck.de/studium/jazz/uni-mainz-3473
University of Mainz,Journalism (MA),4.2,4 semesters,Winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/journalismus/uni-mainz-11282
University of Mainz,"Katholische Religionslehre (B.Ed.)
                                                            Lehramt",4.8,,,,,,,https://www.studycheck.de/studium/katholische-religion/uni-mainz-4063
University of Mainz,"Catholic Religious Education (M.Ed.)
                                                            Teaching",4.3,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/katholische-religion/uni-mainz-8619
University of Mainz,Katholische Theologie (B.A.),,,,,,,,https://www.studycheck.de/studium/katholische-theologie/uni-mainz-10746
University of Mainz,Catholic Theology / Master of Theology (Master),4.3,10 semesters,Summer & winter semester,Master,German,,Mainz,https://www.studycheck.de/studium/katholische-theologie/uni-mainz-2420
University of Mainz,Church Music (B.Mus.),,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/kirchenmusik/uni-mainz-16979
University of Mainz,Classical Archaeology (BA),4.5,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/archaeologie/uni-mainz-19421
University of Mainz,Classical Philology (BA),,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/klassische-philologie/uni-mainz-32605
University of Mainz,Piano (B.Mus.),,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/klavier/uni-mainz-4067
University of Mainz,Klima- und Umweltwandel (Physische Geographie) (M.Sc.),4.2,,,,,,,https://www.studycheck.de/studium/klima-und-umweltwandel/uni-mainz-9322
University of Mainz,Comparative Literature (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/komparatistik/uni-mainz-9735
University of Mainz,Comparative Literature / European Literature (BA),4.2,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/komparatistik/uni-mainz-4048
University of Mainz,Comparative Literature / Lettres modernes (MA),,4 semesters,Summer & winter semester,Master of Arts,"German, French",,Mainz,https://www.studycheck.de/studium/komparatistik/uni-mainz-26223
University of Mainz,Cultural Anthropology (MA),3.7,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/kulturanthropologie/uni-mainz-10103
University of Mainz,Cultural Anthropology/European Ethnology (BA),3.2,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/kulturanthropologie/uni-mainz-4050
University of Mainz,Art History (BA),3.6,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/kunstgeschichte/uni-mainz-4051
University of Mainz,Art History / Histoire de l'art (MA),,4 semesters,Summer & winter semester,Master of Arts,"German, French",,Mainz,https://www.studycheck.de/studium/kunstgeschichte/uni-mainz-26224
University of Mainz,Art History: Works - Contexts - Discourses (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/kunstgeschichte/uni-mainz-9887
University of Mainz,"Latin (B.Ed.)
                                                            Teaching",3.8,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/latein/uni-mainz-14894
University of Mainz,"Latin (M.Ed.)
                                                            Teaching",3.9,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/latein/uni-mainz-7940
University of Mainz,Linguistics (BA),3.6,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/linguistik/uni-mainz-4052
University of Mainz,Linguistics (MA),3.1,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/linguistik/uni-mainz-9902
University of Mainz,Master of German and Foreign Law (Magister),,8 semesters,Summer & winter semester,Master,German English,,Mainz,https://www.studycheck.de/studium/europaeisches-und-internationales-recht/uni-mainz-26243
University of Mainz,Management (M.Sc.),3.6,4 semesters,Summer & winter semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/management/uni-mainz-9102
University of Mainz,"Mathematics (B.Ed.)
                                                            Teaching",3.7,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/mathematik/uni-mainz-14895
University of Mainz,Mathematik (B.Sc.),3.8,,,,,,,https://www.studycheck.de/studium/mathematik/uni-mainz-13367
University of Mainz,"Mathematics (M.Ed.)
                                                            Teaching",3.7,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/mathematik/uni-mainz-7556
University of Mainz,Mathematics (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/mathematik/uni-mainz-11685
University of Mainz,Media Dramaturgy (MA),4.2,4 semesters,Winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/filmwissenschaft/uni-mainz-26226
University of Mainz,Media Cultural Studies (MA),4.1,4 semesters,Winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/medienkultur/uni-mainz-24658
University of Mainz,Media Management (MA),,4 semesters,Winter semester,Master of Arts,German English,,Mainz,https://www.studycheck.de/studium/medienmanagement/uni-mainz-32476
University of Mainz,Media Law (LL.M.),,3 semesters,Winter semester,Master of Laws,German,"4,750 €¹",Mainz,https://www.studycheck.de/studium/medienrecht/uni-mainz-26227
University of Mainz,Medizin (Staatsexamen),3.7,,,,,,,https://www.studycheck.de/studium/medizin/uni-mainz-14334
University of Mainz,Medical Ethics (MA),4.6,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/medizin-ethik-recht/uni-mainz-26228
University of Mainz,Meteorology (B.Sc.),4.1,6 semesters,Summer & winter semester,Bachelor of Science,German,,Mainz,https://www.studycheck.de/studium/meteorologie/uni-mainz-4053
University of Mainz,Meteorologie (M.Sc.),,,,,,,,https://www.studycheck.de/studium/meteorologie/uni-mainz-9785
University of Mainz,Microbiology (M.Sc.),,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: Uni Mainz",English,,Mainz,https://www.studycheck.de/studium/mikrobiologie/uni-mainz-31669
University of Mainz,Medieval and Early Modern Studies (MA),3.8,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/mittelalter-und-fruehe-neuzeit/uni-mainz-26229
University of Mainz,Molecular Biology (B.Sc.),3.8,6 semesters,Summer & winter semester,Bachelor of Science,German,,Mainz,https://www.studycheck.de/studium/molekularbiologie/uni-mainz-12866
University of Mainz,Molekulare Biotechnologie (B.Sc.),4.0,,,,,,,https://www.studycheck.de/studium/molekulare-biotechnologie/uni-mainz-26230
University of Mainz,Molecular Biotechnology (M.Sc.),4.6,4 semesters,Winter semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/molekulare-biotechnologie/uni-mainz-26231
University of Mainz,"Music (B.Ed.)
                                                            Teaching",4.1,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/musik/uni-mainz-4064
University of Mainz,"Music (M.Ed.)
                                                            Teaching",4.2,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/musik/uni-mainz-7941
University of Mainz,Musik - Elementare Musikpädagogik (B.Mus.),,,,,,,,https://www.studycheck.de/studium/musik/uni-mainz-32607
University of Mainz,Music - Guitar (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,"10,320 €¹",Mainz,https://www.studycheck.de/studium/musik/uni-mainz-32608
University of Mainz,Music - Jazz and Popular Music (B.Mus.),,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/musik/uni-mainz-32609
University of Mainz,Music - Jazz and Popular Music (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/jazz/uni-mainz-8256
University of Mainz,Music - Church Music (B.Mus.),,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/musik/uni-mainz-32610
University of Mainz,Music - Church Music (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/kirchenmusik/uni-mainz-26232
University of Mainz,Music - Sound Art - Composition (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/musik/uni-mainz-7452
University of Mainz,Music - Piano (B.Mus.),,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/musik/uni-mainz-32611
University of Mainz,Music - Piano (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/klavier/uni-mainz-7453
University of Mainz,Music - Song accompaniment/rehearsal (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/korrepetition/uni-mainz-7207
University of Mainz,Musik - Musiktheorie (B.A.),,,,,,,,https://www.studycheck.de/studium/musiktheorie/uni-mainz-32612
University of Mainz,Music - Music Theory (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/musiktheorie/uni-mainz-32613
University of Mainz,Music - Opera and Concert (B.Mus.),,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/musik/uni-mainz-32614
University of Mainz,Music - Orchestral instruments including guitar (B.Mus.),,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/musik/uni-mainz-32615
University of Mainz,Music - Orchestral instruments including guitar (M.Mus.),3.7,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/orchesterinstrumente/uni-mainz-7466
University of Mainz,Music - Organ Improvisation (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/orgelimprovisation/uni-mainz-8258
University of Mainz,Musik - Orgelliteraturspiel (M.Mus.),,,,,,,,https://www.studycheck.de/studium/orgelliteraturspiel/uni-mainz-8259
University of Mainz,Music - Voice (M.Mus.),3.4,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/voice/uni-mainz-11279
University of Mainz,Music Theory (M.Mus.),,4 semesters,Summer & winter semester,Master of Music,German,,Mainz,https://www.studycheck.de/studium/musiktheorie/uni-mainz-7463
University of Mainz,Musicology (BA),3.3,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/musikwissenschaft/uni-mainz-4054
University of Mainz,Musicology (MA),4.3,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/musikwissenschaft/uni-mainz-9791
University of Mainz,Scientific Informatics (M.Sc.),4.1,4 semesters,Summer & winter semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/naturwissenschaftliche-informatik/uni-mainz-19456
University of Mainz,Neuroscience (M.Sc.),,4 semesters,Summer & winter semester,"Master of Science
                                                                    Degree is awarded by: Uni Mainz",English,,Mainz,https://www.studycheck.de/studium/neurowissenschaften/uni-mainz-31670
University of Mainz,Public Law (BA),,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/oeffentliches-recht/uni-mainz-18651
University of Mainz,Orchestral instruments (B.Mus.),4.8,8 semesters,Winter semester,Bachelor of Music,German,,Mainz,https://www.studycheck.de/studium/orchesterinstrumente/uni-mainz-4068
University of Mainz,Pharmacy (State Examination),3.4,8 semesters,Summer & winter semester,State examination,German,,Mainz,https://www.studycheck.de/studium/pharmazie/uni-mainz-14593
University of Mainz,Philosophie (B.A.),3.4,,,,,,,https://www.studycheck.de/studium/philosophie/uni-mainz-4055
University of Mainz,Philosophy (MA),,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/philosophie/uni-mainz-9787
University of Mainz,"Philosophy / Ethics (B.Ed.)
                                                            Teaching",3.9,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/philosophie/uni-mainz-4065
University of Mainz,"Philosophie / Ethik (M.Ed.)
                                                            Lehramt",3.7,,,,,,,https://www.studycheck.de/studium/philosophie/uni-mainz-7935
University of Mainz,Philosophy / Philosophy: imaginaire et rationalité (MA),,4 semesters,Summer & winter semester,Master of Arts,"German, French",,Mainz,https://www.studycheck.de/studium/philosophie/uni-mainz-26234
University of Mainz,"Physik (B.Ed.)
                                                            Lehramt",3.8,,,,,,,https://www.studycheck.de/studium/physik/uni-mainz-14896
University of Mainz,Physik (B.Sc.),3.8,,,,,,,https://www.studycheck.de/studium/physik/uni-mainz-14874
University of Mainz,"Physics (M.Ed.)
                                                            Teaching",4.3,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/physik/uni-mainz-7553
University of Mainz,Physics (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,English,,Mainz,https://www.studycheck.de/studium/physik/uni-mainz-9786
University of Mainz,Political Science (BA),3.9,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/politikwissenschaft/uni-mainz-14875
University of Mainz,Political Economy and International Relations (MA),3.8,4 semesters,Winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/internationale-beziehungen/uni-mainz-26239
University of Mainz,Portuguese (BA),,6 semesters,Summer & winter semester,Bachelor of Arts,"German, Portuguese",,Mainz,https://www.studycheck.de/studium/portugiesisch/uni-mainz-26240
University of Mainz,Psychology (M.Sc.),3.4,4 semesters,Winter semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/psychologie/uni-mainz-26242
University of Mainz,Psychology & Psychotherapy (B.Sc.),3.9,6 semesters,Summer & winter semester,Bachelor of Science,German,,Mainz,https://www.studycheck.de/studium/psychologie/uni-mainz-26241
University of Mainz,Journalism (BA),4.0,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/publizistik/uni-mainz-14877
University of Mainz,Quantitative Decision Making in Economics and Management (M.Sc.),,4 semesters,Winter semester,"Master of Science
                                                                    Degree is awarded by: Uni Mainz",English,,Mainz,https://www.studycheck.de/studium/economics/uni-mainz-31671
University of Mainz,Law (State Examination),3.6,10 semesters,Summer & winter semester,State examination,German,,Mainz,https://www.studycheck.de/studium/rechtswissenschaft/uni-mainz-14954
University of Mainz,Romanistik Interkulturell (M.A.),,,,,,,,https://www.studycheck.de/studium/romanistik/uni-mainz-9737
University of Mainz,"Russian (B.Ed.)
                                                            Teaching",3.9,6 semesters,Summer & winter semester,Bachelor of Education,"German, Russian",,Mainz,https://www.studycheck.de/studium/russisch/uni-mainz-4066
University of Mainz,"Russian (M.Ed.)
                                                            Teaching",2.7,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/russisch/uni-mainz-7945
University of Mainz,Slavic Studies / East European Studies (MA),,4 semesters,Summer & winter semester,Master of Arts,"German, Polish",,Mainz,https://www.studycheck.de/studium/slawistik/uni-mainz-9739
University of Mainz,Slavic Studies / Eastern European Studies - Focus on Polish Studies (BA),,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/slawistik/uni-mainz-4195
University of Mainz,Slavic Studies / Eastern European Studies - Focus on Russian Studies (BA),3.9,6 semesters,Summer & winter semester,Bachelor of Arts,"German, Russian",,Mainz,https://www.studycheck.de/studium/slawistik/uni-mainz-4196
University of Mainz,Soft Matter and Materials (M.Sc.),,,,,,,,https://www.studycheck.de/studium/materialwissenschaft/uni-mainz-31672
University of Mainz,"Social Studies (B.Ed.)
                                                            Teaching",3.7,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/sozialkunde/uni-mainz-14897
University of Mainz,"Social Studies (M.Ed.)
                                                            Teaching",3.6,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/sozialkunde/uni-mainz-7946
University of Mainz,Sociology (BA),3.8,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/soziologie/uni-mainz-14878
University of Mainz,Sociology: Research Practice and Practical Research (MA),4.3,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/soziologie/uni-mainz-9738
University of Mainz,Spanish (BA),3.9,6 semesters,Summer & winter semester,Bachelor of Arts,"German, Spanish",,Mainz,https://www.studycheck.de/studium/spanisch/uni-mainz-15054
University of Mainz,"Spanish (B.Ed.)
                                                            Teaching",3.5,6 semesters,Summer & winter semester,Bachelor of Education,"German, Spanish",,Mainz,https://www.studycheck.de/studium/spanisch/uni-mainz-14898
University of Mainz,"Spanish (M.Ed.)
                                                            Teaching",3.8,4 semesters,Summer & winter semester,Master of Education,"German, Spanish",,Mainz,https://www.studycheck.de/studium/spanisch/uni-mainz-7944
University of Mainz,"Sports (B.Ed.)
                                                            Teaching",4.1,6 semesters,Summer & winter semester,Bachelor of Education,German,,Mainz,https://www.studycheck.de/studium/sport/uni-mainz-14899
University of Mainz,"Sport (M.Ed.)
                                                            Lehramt",4.4,,,,,,,https://www.studycheck.de/studium/sport/uni-mainz-7947
University of Mainz,Sport Science – Movement and Wellbeing (M.Sc.),3.7,4 semesters,Summer semester,Master of Science,English,,Mainz,https://www.studycheck.de/studium/sportwissenschaft/uni-mainz-25103
University of Mainz,Sports and Sports Science (BA),4.0,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/sportwissenschaft/uni-mainz-14879
University of Mainz,Sports Ethics and Integrity (MA),,4 semesters,Winter semester,Master of Arts,German English,,Mainz,https://www.studycheck.de/studium/sport/uni-mainz-26244
University of Mainz,Sports Science – Health Promotion and Therapy through Sport (M.Sc.),3.1,4 semesters,Summer semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/sportwissenschaft/uni-mainz-19466
University of Mainz,Sports Science – International Sports Management (M.Sc.),4.1,4 semesters,Summer semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/sportwissenschaft/uni-mainz-19467
University of Mainz,Criminal Justice (BA),3.4,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/recht/uni-mainz-19436
University of Mainz,Strategic Communication (MA),,4 semesters,Winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/strategische-kommunikation/uni-mainz-32628
University of Mainz,Theatre Studies (BA),3.8,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/theaterwissenschaft/uni-mainz-14880
University of Mainz,Theatre Studies (MA),3.8,4 semesters,Summer & winter semester,Master of Arts,German,,Mainz,https://www.studycheck.de/studium/theaterwissenschaft/uni-mainz-10104
University of Mainz,Translation (BA),3.9,6 semesters,Summer & winter semester,Bachelor of Arts,"German, English, French, Spanish, Italian, Russian, Dutch, Turkish, Portuguese, Arabic, Polish, Greek",,Germersheim,https://www.studycheck.de/studium/translation/uni-mainz-3097
University of Mainz,Translation (MA),4.4,4 semesters,Summer & winter semester,Master of Arts,"German, English, French, Spanish, Italian, Russian, Dutch, Chinese, Turkish, Portuguese, Polish",,Mainz,https://www.studycheck.de/studium/translation/uni-mainz-19468
University of Mainz,Transnational German Studies (MA),4.2,4 semesters,Winter semester,Master of Arts,German English,,Mainz,https://www.studycheck.de/studium/national-and-transnational-studies/uni-mainz-26245
University of Mainz,Transnationaler Journalismus (M.A.),4.4,,,,,,,https://www.studycheck.de/studium/journalismus/uni-mainz-26246
University of Mainz,Turcology (M.A.),,,,,,,,https://www.studycheck.de/studium/turkologie/uni-mainz-26247
University of Mainz,Turkish Studies (MA),,4 semesters,Winter semester,"Master of Arts
                                                                    Degree is awarded by: Uni Mainz","German, Turkish",,Mainz,https://www.studycheck.de/studium/tuerkisch/uni-mainz-31673
University of Mainz,Turkulogy (BA),,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/turkologie/uni-mainz-19437
University of Mainz,Environmental Sciences with a focus on atmosphere and climate (B.Sc.),,6 semesters,Winter semester,"Bachelor of Science
                                                                    Degree is awarded by: Uni Mainz",German,,Mainz,https://www.studycheck.de/studium/klima-und-umweltwandel/uni-mainz-31674
University of Mainz,Weltliteratur (M.A.),,,,,,,,https://www.studycheck.de/studium/literaturwissenschaft/uni-mainz-19469
University of Mainz,Business Education (B.Sc.),3.7,6 semesters,Summer & winter semester,Bachelor of Science,German,,Mainz,https://www.studycheck.de/studium/wirtschaftspaedagogik/uni-mainz-3677
University of Mainz,Business Education (M.Ed.),3.5,4 semesters,Summer & winter semester,Master of Education,German,,Mainz,https://www.studycheck.de/studium/wirtschaftspaedagogik/uni-mainz-19470
University of Mainz,Business Education (M.Sc.),3.9,4 semesters,Summer & winter semester,Master of Science,German,,Mainz,https://www.studycheck.de/studium/wirtschaftspaedagogik/uni-mainz-9125
University of Mainz,Wirtschaftswissenschaften (B.A.),4.2,,,,,,,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-mainz-32629
University of Mainz,Economics (B.Sc.),3.7,6 semesters,Summer & winter semester,Bachelor of Science,German,,Mainz,https://www.studycheck.de/studium/wirtschaftswissenschaft/uni-mainz-3675
University of Mainz,Wirtschaftswissenschaftliche Informatik (M.Sc.),3.7,,,,,,,https://www.studycheck.de/studium/informatik/uni-mainz-19457
University of Mainz,Dentistry (state examination),3.7,11 semesters,Summer & winter semester,State examination,German,,Mainz,https://www.studycheck.de/studium/zahnmedizin/uni-mainz-15520
University of Mainz,Civil Law (BA),,6 semesters,Summer & winter semester,Bachelor of Arts,German,,Mainz,https://www.studycheck.de/studium/recht/uni-mainz-19440
