name,logo,web_url,description,High school type,address,phone,email
Uni Jena,https://static.studycheck.de/media/images/institute_logos/rectangle/uni-jena/uni-jena.png,http://www.uni-jena.de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"Founded in 1558, the Friedrich Schiller University Jena is one of the oldest universities in Germany.And the university is not a bit dusty.With innovative teaching and research, it is committed to the future.For example, with the interdisciplinary one-subject bachelor's bioinformatics and unique subjects in Europe, such as Caucasiology.The spectrum ranges from A for English to Z for dentistry.Researchers, teachers and students from a wide variety of countries ensure international flair and cultural exchange.Best study orientation and practical orientation attract students to the university every year.",State University,Uni Jena Fürstengraben 1 07743 Jena,+49 (0)3641 9411111,studium@uni-jena.de
Aschaffenburg University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/th-aschaffenburg/th-ab.png,https://www.th-ab.de/startseite/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Technical University of Aschaffenburg is located on the edge of the Frankfurt-Rhein-Main metropolitan region.The campus site is located on the former Jäger-Kaserne area.Here, listed buildings meet modern architecture surrounded by a lot of green space.The Faculties Health Sciences in the Foundation, Economy and Law as well as engineering science offer an attractive, practical range of courses.In the Bachelor and Master courses, over 3,500 students are trained for health science, business, business law and technical professions.The Aschaffenburg Technical University has been certified as a family -friendly university since 2006.",State university,TH Aschaffenburg Würzburger Straße 45 63743 Aschaffenburg,+49 (0)6021 4206-0,info@th-ab.de
Education & Counseling Bethel,https://static.studycheck.de/media/images/institute_logos/rectangle/bb-bethel/bb-bethel_rectangle.png,,,,Bildung & Beratung Bethel Nazarethweg 7 33617 Bielefeld,,
Freiburg University of Education,https://static.studycheck.de/media/images/institute_logos/rectangle/ph-freiburg/ph-freiburg.jpg,,"The Freiburg University of Education was founded in 1962 as a teacher university and, in addition to the traditional teaching courses, now also offers some Bachelor and Master courses.These courses specialize in the areas of education psychology, educational science, media and health pedagogy, German as a foreign language, as well as early education.There are other priorities in the didactics of mathematics and natural sciences, dealing with diversity and intercultural, as well as bilingual lessons.",State University,Pädagogische Hochschule Freiburg Kunzenweg 21 79117 Freiburg im Breisgau,,
MHH - Hannover Medical School,https://static.studycheck.de/media/images/institute_logos/rectangle/mh-hannover/mh-hannover.jpg,,,State University,MHH - Medizinische Hochschule Hannover Carl-Neuberg-Str. 1 30625 Hannover,,
bbw university,https://static.studycheck.de/media/images/institute_logos/rectangle/bbw-h/logo_bbw_rectangle.jpg,https://www.bbw-hochschule.de/?&utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"As an accredited and state recognized university, we see ourselves as the optimal link between the practice-oriented academic studies and the real need for specialist and manager in companies.with lecturers from industry, applied research projects and ours start-up center on ourModern Campus, Practical Relevance in Your Studies is Guaranteed. Ob part-time, dual or full-time- our selection of courses in business, industrial engineering and engineering offers all the prerequisites for an individual study and a successful career.In short, the BBW University is the perfect springboard for a career in the economy.",Private university,bbw Hochschule Wagner-Régeny-Straße 21 12489 Berlin,+49 (0)30 31990950,info@bbw-hochschule.de
Alanus University of Arts and Society,https://static.studycheck.de/media/images/institute_logos/rectangle/alanus-h/alanus-h.jpg,http://www.alanus.edu?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Alanus University of Art and Society in Alfter Near Bonn is a Private, State-Recognized Art College: Students Receive The Same Degree As at a State University.Under ITS Roof, The Alanus University Combines Courses in Architecture, Fine Arts, Eurythmy, Art Therapy, Education, Philosophy, Business Administration and Acting.The focus is on encountering and dealing with art and science.The students are encouraged to take the development of their personality and society themselves and to get involved in person.Therefore, the Alanus University attaches great importance to intensive care for its students and promotes interdisciplinary educational approaches.All students meet in the general and cross-school studies.Long -term cooperation and a growing network support the university in realizing its visions.",Private university,Alanus Hochschule für Kunst und Gesellschaft Villestraße 3 53347 Alfter,+49 (0)2222 93210,info@alanus.edu
EvH Bochum,https://static.studycheck.de/media/images/institute_logos/rectangle/evh-bochum/evh_rectangle.png,https://www.ich-will-sinn.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The EVH Bochum is the largest Protestant university in Germany.Practice -oriented, the cooperation in the foreground, good connection to teachers - all this makes the EVH Bochum a special university, according to our studies.Our courses are located in social, educational and healthcare so that you can later help shape the social future.We are guided by the Christian image of man.The dialogue with people from other denominations, religions and cultures is particularly important to us.",Church university,EvH Bochum Immanuel-Kant-Straße 18-20 44803 Bochum,,
Hochschule für Musik Hanns Eisler Berlin,https://static.studycheck.de/media/images/institute_logos/rectangle/hfm-berlin/hfm-berlin.jpg,,"The University of Music Hanns Eisler Berlin, founded in 1950 under the name German University of Music, is located in the historic center of Berlin on the Gendarmenmarkt. The respected facility has a symphony orchestra, a choir, the Echo Ensemble for New Music and numerous chamber music associationsover 400 public events are presented.With the Konzerthaus Berlin and the Berlin Philharmonic Foundation, there are intensive collaborations.",State university,Hochschule für Musik Hanns Eisler Berlin Charlottenstraße 55 10117 Berlin,,
Technische Hochschule Augsburg,https://static.studycheck.de/media/images/institute_logos/rectangle/th-augsburg/659c098ddbe27_tha-logo-s-red-rgb.png,https://www.tha.de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"Attractive place of study, innovative research facility, sought-after impulse for companies in the region- the Augsburg Technical University is one of the most important educational and science institutions in Bavarian Swabia.Her primary goal: to convey extensive specialist knowledge, application skills and social skills, always guided by the motto of supporting young people on their way to the ""sought -after personality"" in business and society.70 nations in around 50 Bachelor, Master and further education courses from the areas of technology, business, design and social training a practice-oriented training that prepares them for the challenges of an international labor market and at the same time focuses on the needs of the regional economy.",State university,Technische Hochschule Augsburg An der Hochschule 1 86161 Augsburg,+49 (0)821 5586-0,info@hs-augsburg.de
Mannheim Business School,https://static.studycheck.de/media/images/institute_logos/rectangle/mabus/mabus.jpg,,,Private university,"Mannheim Business School L 5, 6 68161 Mannheim",,
Osnabrück University of Applied Sciences,https://static.studycheck.de/media/images/institute_logos/rectangle/hs-osnabrueck/hs-osnabrueck-3.png,https://www.hs-osnabrueck.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"With over 13,000 students, the Osnabrück University of Applied Sciences is the largest University of Applied Sciences in Lower Saxony.With around 100 courses, the courses in the Bachelor, Master and further education sector are very diverse.It includes the entire width of the engineering, agricultural, economic and social sciences.There are also offers from the areas of communication, design and computer science, freedom planning and landscape architecture, theater and music education as well as therapy and health courses.Highly motivated teachers with a lot of experience in national and international companies convey practical, professional teaching content.Integrated practical phases also give students the opportunity to gain insight into later fields of activity at an early stage and to use their theoretical knowledge in projects.",State university,Hochschule Osnabrück Albrechtstraße 30 49076 Osnabrück,+49 (0)541 969 7100,servicedesk@hs-osnabrueck.de
TUM - TU München,https://static.studycheck.de/media/images/institute_logos/rectangle/tu-muenchen/tu-muenchen.jpg,,"The Technical University of Munich is the only technical university in Bavaria.It is one of the largest technical universities in Germany.The core areas are nature and engineering as well as medicine/life sciences.They are supplemented by economics, mathematics and computer science, sports and health sciences, the TUM School of Education (teacher training/education research) and architecture.",State University,TUM - TU München Arcisstraße 21 80333 München,,
Reutlingen University,https://static.studycheck.de/media/images/institute_logos/rectangle/hs-reutlingen/hs-reutlingen.jpg,https://www.reutlingen-university.de/home/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Reutlingen University of Applied Sciences is one of the leading universities for international and company -related academic training.On campus, over 5,000 students learn at 5 different faculties: Applied chemistry, ESB Business School, Computer Science, Technology, Textile & Design Professors, lecturers and many other employees help young talented people to contest the academic path.The Reutlingen University of Applied Sciences is an important concern to promote the students in the development of their personality and to make responsible specialists and managers from them. A lively exchange takes place on the campus of the Reutlingen University of Applied Sciences.The library, four dormitories, the cafeteria and cafeteria, sports offers and numerous leisure opportunities, all of this can be found on the campus.The city center is only ten minutes from the campus and can be easily reached by bus.",State university,Hochschule Reutlingen Alteburgstraße 150 72762 Reutlingen,+49 (0)7121 271-0,zentrale.studienberatung@reutlingen-university.de
Alice Salomon Hochschule Berlin,https://static.studycheck.de/media/images/institute_logos/rectangle/ash-berlin/ash-berlin.png,,"The Alice Salomon University of Applied Sciences Berlin (Ash Berlin) is the largest German State University for Social Work, Health, Education and Education (Sage) with 20 master and bachelor's degree programs.With interdisciplinary courses and an international network of research collaborations and partner universities, Ash Berlin offers a variety of vocational and further education perspectives.Your profile results from her exciting story as well as from her many years of tradition.Diversity and gender mainstreaming, health promotion and family friendliness, such as cultural work and the international exchange are very important in daily work.In order to advance the necessary, science-based professionalization in these professional fields, Ash Berlin promotes academicization of the sage professions.It occurs for more recognition, decision -making powers, better payment and the right of doctoral rights from her graduates.",State university,Alice Salomon Hochschule Berlin Alice-Salomon-Platz 5 12627 Berlin,,
TU Berlin,https://static.studycheck.de/media/images/institute_logos/rectangle/tu-berlin/tu-berlin.jpg,,,State University,TU Berlin Straße des 17. Juni 135 10623 Berlin,,
University of Regensburg,https://static.studycheck.de/media/images/institute_logos/rectangle/uni-regensburg/logo_rectangle_uni_regensburg.png,,,,Uni Regensburg Universitätsstraße 31 93053 Regensburg,,
Theologische Hochschule Friedensau,https://static.studycheck.de/media/images/institute_logos/rectangle/th-friedensau/th-friedensau_rectangle.png,http://www.thh-friedensau.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Theological University of Friedensau is a state -recognized university founded in 1899.In the two specialist areas of Christian social and theology, eight bachelor's and master's programs- sometimes part-time- can be proven here.The modern campus is around 100 km west of Berlin.The students come from more than 34 countries in the world.",Church university,Theologische Hochschule Friedensau An der Ihle 19 39291 Friedensau,+ 49 (0) 3921  9160,hochschule@thh-friedensau.de
HfWU Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen,https://static.studycheck.de/media/images/institute_logos/rectangle/hfwu/hfwu_rectangle_neu.png,https://www.hfwu.de?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The University of Economics and Environment Nürtingen-Geislingen-or “HfWU” for short-offers a large selection of courses.In addition to the economy and the environment, there are also offers from law, planning and therapies.Development, two court goods for horse farming and agriculture, teaching and test gardens, a model building workshop, a CAD/GIS laboratory and much more.",State university,HfWU Hochschule für Wirtschaft und Umwelt Nürtingen-Geislingen Neckarsteige 6-10 72622 Nürtingen,+49 (0)7022 201 0,info@hfwu.de
PH Niederösterreich,https://static.studycheck.de/media/images/institute_logos/rectangle/ph-noe/ph-noe_rectangle_neu.png,,"The PH Lower Austria teaches and researches responsible for all teachers in the state of Lower Austria: Without University of Teacher Education in Lower Austria, the PH Lower Austria is currently faced with the special task of orienting its development and installing partnerships and cooperation, which of this challenge both in terms of contenthow organizationally can have grown. In this responsibility, it is facing the challenges and opportunities of ""pedagogue education new"" (especially their preferences: individualization and competence orientation; quality management and improvement of the qualification of future teachers; further development of pedagogue training new; gender aspects).Cooperations with the Viennese universities and other tertiary partners, she wants to take a representation for teachers, accompanied by the students, can perform their genuinely educational task more easily and better.Renewal is to put up, do not overturn: Those who teach new ones need old knowledge.",State university,PH Niederösterreich Mühlgasse 67 2500 Baden,,
Medizinische Universität Graz,https://static.studycheck.de/media/images/institute_logos/rectangle/med-uni-graz/med-uni-graz_Logo_rectangle_250x85.png,,,State University,Medizinische Universität Graz Auenbruggerplatz 2 8036 Graz,,
Waldorf Institute Witten Annen,https://static.studycheck.de/media/images/institute_logos/rectangle/iwp/WIWA_Logo_300_112.gif,https://waldorfinstitut.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Waldorf Institute Witten Annen trains teachers for Waldorf schools.The studies of pedagogy is characterized by a large practical share, numerous artistic and manual experiences as well as small course groups.With us you are not just a matriculation number! Our Waldorf Institute is an extraordinary place of study in many ways.Because here in Witten - in the middle of the metropolis of Ruhr and yet green - we offer you the space and time to experience a studies in pedagogy, in which the focus is on the art of education in the interests of Rudolf Steiner's pedagogy.All lecturers, employees and students see themselves as a working group with one goal: to shape paths and conditions together, are cultivated through the upbringing and human encounter.Waldorf education and our range of courses live from these encounters - and open up new perspectives on the potential of people and their society.",Private academy,Waldorf Institut Witten Annen Annener Berg 15 58454 Witten,+49 230296730,info@waldorfinstitut.de
Quadriga Hochschule,https://static.studycheck.de/media/images/institute_logos/rectangle/quadriga/quadriga.png,,"If you want to study part-time, the Quadriga University offers you six innovative and practice-oriented MBA & M.A. programs with leadership focus.These can be combined with the fields of communication management, public affairs as well as personnel and organizational development.There is also the MBA leadership & digital transformation, which explicitly focuses on the digital further development of departments and business units.With the YourMBA principle you can combine module content and flexibly cut the duration and the online share to your professional and private situation.With personal mentoring and visiting industry events and companies, you have the chance to strengthen your own network in the long term.The Quadriga University of Berlin is a private university with state recognition by the Science Council.All MBA & Master study programs are also accredited by the independent and internationally renowned agency FIBAA (Foundation for International Business Administration Accreditation).",Private university,Quadriga Hochschule Werderscher Markt 13 10117 Berlin,,
THU - Technische Hochschule Ulm,https://static.studycheck.de/media/images/institute_logos/rectangle/th-ulm/th-ulm.png,,"Studier 'what moves you teaches the Technical University of Ulm and researches on the pulse of time.Whether modern mobility, digital technologies, medical technology, sustainable energy systems or intelligent industrial systems - we understand what moves and develop our courses steadily.The bachelor and master's degrees with a focus on their own focal points offer the best job prospects.This means that we train the next generation of specialists and managers in a practice-oriented manner.Be part of the Thu and shape the future of technology.We accompany you in your personal and professional development and offer you scientifically sound university education at the highest level.",State university,THU - Technische Hochschule Ulm Prittwitzstraße 10 89073 Ulm,,
Steinbeis Hochschule,https://static.studycheck.de/media/images/institute_logos/rectangle/shb-berlin/sbh-berlin_rectangle.png,,"The Steinbeis University, founded in 1998, offers transfer-oriented, part-time training and further education.In order to bundle competencies and use synergies, Steinbeis Transfer Institutes of the SHB offer their educational products and transfer-oriented research in associations and in cooperation with Steinbeis companies from advice, research and development as well as analyzes and expertise.Studied in -house projects, accompanied by professors and teachers from the university.",Private university,Steinbeis Hochschule Hegelstr. 39 39104 Magdeburg,,
Katholische Hochschule Mainz,https://static.studycheck.de/media/images/institute_logos/rectangle/kh-mainz/63c50ac507a80_kh-logo-quer.jpg,https://www.kh-mz.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"Social, health and practical theology are the specialties of the Catholic University of Mainz (KH Mainz).Around 1,600 students are trained in the 9 Bachelor and Master courses in social work and social sciences, health and care as well as practical theology in these areas. The campus is located in the middle of the lively city and science city of Mainz.As a small, manageable university, the KH Mainz offers a personal study atmosphere, short distances and intensive care options.With its cooperation and practice partners from the church and society, the university forms a strong network and enables studying with high practical relevance and very good contacts to future employers. The KH Mainz is a state-recognized university in the sponsorship of the Catholic Church.People of all religions as well as without religion or denomination.",Church university,Katholische Hochschule Mainz Saarstraße 3 55122 Mainz,+49 (0)6131 289 44-0,info@kh-mz.de
University of Tokyo,https://static.studycheck.de/media/images/institute_logos/rectangle/boku/BOKU_logo_rectangle.png,,,State University,BOKU University Gregor-Mendel-Straße 33 1180 Wien,,
Hochschule für Musik Dresden,https://static.studycheck.de/media/images/institute_logos/rectangle/hfm-dresden/hfm-dresden.jpg,,"The Dresden University of Music is one of the oldest facilities of its kind in Germany.Their origin is associated with the names Carl Maria von Weber, Francesco Morlacchi and Richard Wagner.Today, more than 700 young people from all over the world study music in Dresden. In addition to the opera class and orchestral education, intensive activities in the areas of new music, jazz / rock / pop as well as in scientific and pedagogical fields of work determine the profile of the Dresden Music University.The cooperation with orchestras, theaters and educational institutions ensures intensive practical relevance of the training.",State university,Hochschule für Musik Dresden Wettiner Platz 13 01067 Dresden,,
BBA - Akademie der Immobilienwirtschaft,https://static.studycheck.de/media/images/institute_logos/rectangle/bba/bba_Logo_rectangle_250x85.png,,,Private academy,BBA - Akademie der Immobilienwirtschaft Hauptstraße 78/79 12159 Berlin,,
TU Dortmund,https://static.studycheck.de/media/images/institute_logos/rectangle/tu-dortmund/tu-dortmund.jpg,,"A total of over 33,000 people study at the TU Dortmund.You can choose from classic subjects and innovative offers.The young course bio engineering is unique in Germany, as is the study programs of spatial planning, statistics, journalism and rehabilitation sciences.The “Dortmund model construction” forms architects and civil engineers together in teaching projects.A special focus is on teacher training: professional qualification for all school types - this is what the TU Dortmund offers as one of only a few universities in Germany.",State University,TU Dortmund August-Schmidt-Straße 4 44227 Dortmund,,
Hochschule für Evangelische Kirchenmusik,https://static.studycheck.de/media/images/institute_logos/rectangle/hfk-bayreuth/hfk-bayreuth_Logo_rectangle_250x85.png,,"The University of Evangelical Church Music in Bayreuth is the only university in Bavaria that, in church sponsorship and state recognition, trains Evangelical Church Musicians for Bavaria, the area of ​​the EKD and beyond. The training at the university is based on the traditional training valuesthe changing conditions of the church musical job description and is characterized by a special community and practical relevance as well as a special pedagogical component.",Church university,Hochschule für Evangelische Kirchenmusik Wilhelminenstraße 9 95444 Bayreuth,,
Hochschule Ansbach,https://static.studycheck.de/media/images/institute_logos/rectangle/hs-ansbach/hs-ansbach.jpg,https://www.hs-ansbach.de/startseite/?utm_source=studycheck.de&utm_medium=Paid+Referrer&utm_campaign=Premium+Hochschulprofil,"The Ansbach University of Applied Sciences, founded in 1996, is a modern young university.The range of courses is scientifically well -founded, and all courses have pronounced interfaces to practice. By projects, cooperation and the practical semester of study, students are establishing the first contacts with partners from the economy.This benefits the future graduates with regard to the entry into the world of work.",State university,Hochschule Ansbach Residenzstraße 8 91522 Ansbach,+ 49 (0) 981 4877- 0,info@hs-ansbach.de
"Merz Akademie, Hochschule für Gestaltung, Kunst und Medien",https://static.studycheck.de/media/images/institute_logos/rectangle/merz-akademie/merz-akademie.jpg,,"The Merz Akademie, University of Design, Art and Media is recognized by the state and is institutionally accredited.In the design, art and media bachelor's degree, students can combine the four areas of crossmedia publishing, film and video, new media and visual communication or focus on an area or focus on e.g. photography.Through small and manageable groups, the Merz Academy enables its students close contact with the teachers and thus individual support and the willingness to address the ideas and goals of the students.The students get a good insight into professional life as part of a practical semester.After 7 semesters, the Bachelor of Arts ends.",Private university,"Merz Akademie, Hochschule für Gestaltung, Kunst und Medien Teckstraße 58 70190 Stuttgart",,
ASCENSO – Akademie für Business und Medien,https://static.studycheck.de/media/images/institute_logos/rectangle/asc/asc.png,http://www.ascenso-akademie.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"In Palma de Mallorca, students at the Ascenso Academy for Business and Media can complete a German university degree.After three years, studying with a state, German university degree is completed as a Bachelor of Arts (B.A.).The Ascenso-Plus: Learn Spanish, gain intercultural experiences and be cared for individually during your studies.",Private academy,"ASCENSO – Akademie für Business und Medien Calle San Roque 4, 3° 07001 Palma de Mallorca",+49 (0)3727 95 92 977,info@ascenso-akademie.de
Hochschule Magdeburg-Stendal,https://static.studycheck.de/media/images/institute_logos/rectangle/hs-magdeburg/hs-magdeburg.jpg,,"Study in the countryside at the Magdeburg-Stendal University of Applied Sciences!Practical study in small groups, a good connection to the approximately 130 professors as well as two modern and spacious green campus-these are the advantages that studying at the Magdeburg-Stendal University of Applied Sciences.In addition to the ideal learning environment, the university relies on research and transfer of knowledge and cooperates closely with the regional and national economy.The more than 5,000 students benefit from this with industrial internships, abroad and internships.At three departments in Magdeburg and two departments at the Stendal location, prospective students can choose from around 50 courses.In this way, prospective students can choose from classics such as civil engineering and business administration, but also from exceptional courses: water management, security and security, journalism and childhood pedagogy.",State university,Hochschule Magdeburg-Stendal Breitscheidstraße 2 39114 Magdeburg,,
Lake Constance Campus,https://static.studycheck.de/media/images/institute_logos/rectangle/bc/bc.jpg,https://www.bodensee-campus.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"Lake Constance Campus is a private study center with accredited courses and state bachelor and master's degrees.Lectures in small groups, exciting excursions as well as practical dialogues of makers from the respective industries. Knowledge that goes far beyond the lecture plan.And invite you to network during your studies.Communication between lecturers and students can be experienced here and the atmosphere on the campus is familiar.",Private university,Bodensee Campus Bruder-Klaus-Straße 8 78467 Konstanz,info@bodensee-campus.de,
Karlshochschule,https://static.studycheck.de/media/images/institute_logos/rectangle/khs/khs.jpg,https://karlshochschule.de/de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"We just say: the Karls.As a state -recognized university with over 400 students, exciting professors with a lot of international experience and a network of lecturers from different industries and disciplines, we see ourselves as an international and intercultural meeting room with regional binding.With our interactive and (co-) creative teaching, we not only offer well-founded professional university formation, but also focus on critical thinking and the personal development of our students.Because only those who really “embodies” responsibility in management and society, who lives them, can really make a difference.For a new, holistic thinking and acting.",Private university,Karlshochschule Karlstraße 36-38 76133 Karlsruhe,+49 (0)721 48095-777,info@karlshochschule.de
Tomorrow University,https://static.studycheck.de/media/images/institute_logos/rectangle/tomorrowuniversity/66a808c89dad9_ghgjlh.png,https://www.tomorrow.university/?utm_source=referral&utm_medium=studycheck&utm_campaign=listing,"The Remote-First Tomorrow University of Applied Sciences Learners to Build the 21st-Century Skills Needed in Sustainability, Entrepreneurship, and Technology Through Our Revolutionary Approach to Education.We are building a community of empowered and connected individuals who we strongly Believe Will Creatter a Brighter and More Sustainable Future.Their success is our mission, and their impact is Our Measure.",Private university,Tomorrow University Am Orangeriepark 5 13156 Berlin,,
HFM - Saar University of Music,https://static.studycheck.de/media/images/institute_logos/rectangle/hfm-saar/hfm-saar.jpg,,"The University of Music Saar (Hfm) in Saarbrücken was founded in 1947, based on the model of the Conservatoire de Paris, as a state conservatory in Saarbrücken.According to the establishment of institutes for Catholic church music (1951) and school music (1952), after the integration of the Saarland to the Federal Republic of Germany in 1957, it was included in the circle of West German music academies and as a ninth member of the rector conference.",State university,HFM - Hochschule für Musik Saar Bismarckstraße 1 66111 Saarbrücken,,
FH Health Professions Upper Austria,https://static.studycheck.de/media/images/institute_logos/rectangle/fh-gesundheitsberufe/gesundheitsberufe_ooe_logo_rectangle.png,,,,FH Gesundheitsberufe OÖ Semmelweisstraße 34/D3 4020 Linz,,
Provadis University,https://static.studycheck.de/media/images/institute_logos/rectangle/provadis/provadis.jpg,http://provadis-hochschule.de/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"With over 1,000 Students, Provadis University is the Largest Purely Dual University in Hesse.Over 2.400 Graduates of Provadis University have proving over the last 17 years that it is possible to successfully study dual or part-time within the standard period of study.",,Provadis Hochschule Rudolf-Amthauer-Straße 65929 Frankfurt am Main,+49 (0)69 305-81051,info@provadis-hochschule.de
Donau Uni Krems,https://static.studycheck.de/media/images/institute_logos/rectangle/uni-donaukrems/donau-krems_rectangle.png,,"The University of Krems University is a university in Krems on the Danube, which is jointly operated by the Republic of Austria and the state of Lower Austria, which offers part -time training courses.The university is divided into three faculties, with the Faculty of Health and Medicine being the largest with around 47 percent of students.Around 8,000 students are currently approved at the University of Krems, more than 27,000 graduates have already successfully completed their studies.",State University,Donau Uni Krems Dr.-Karl-Dorrek-Straße 30 3500 Krems,,
FH Münster,https://static.studycheck.de/media/images/institute_logos/rectangle/fh-muenster/fh_muenster_Logo_rectangle.png,https://www.fh-muenster.de/?conv=0639c56185f3d1ae&utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,,State university,FH Münster Hüfferstraße 27 48149 Münster,+49 (0)251 83-64150,studienberatung@fh-muenster.de
State Academy of Fine Arts (Städelschule),https://static.studycheck.de/media/images/institute_logos/rectangle/hfbk-ffm/hfbk-ffm.jpg,,,,Staatliche Hochschule für Bildende Künste (Städelschule) Dürerstraße 10 60596 Frankfurt am Main,,
University of Applied Sciences for Intercultural Theology Hermannsburg,https://static.studycheck.de/media/images/institute_logos/rectangle/fh-hermannsburg/fh-hermannsburg.jpg,,"The Hermannsburg University of Applied Sciences for Intercultural Theology (Fit) is a State-Recognized Protestant Educational Institution.Its aim is to bring the tradition of critical Protestant and lutheran theologies into dialogue with pentecostal and charismatic movements, to be an interface between the education at the Protestant Faculties and the Different Theologies of Africa, Asia and Latin America, and to make a Contribution toIntercultural encounters and integration.",,Fachhochschule für Interkulturelle Theologie Hermannsburg Missionsstraße 3-5 29320 Hermannsburg,,
FH JOANNEUM,https://static.studycheck.de/media/images/institute_logos/rectangle/fh-joanneum/fh_joanneum_logo_rectangle_.png,http://fh-joanneum.at?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The FH JOANNEUM is one of the leading universities for applied sciences in Austria.Regardless of whether you are interested in technology, management, media and design, health or environment, we have the right range of courses for you.As a future college, we are increasingly devoting ourselves to current issues such as sustainability and digitization.We break new ground for this: We offer you an attractive living environment, the latest infrastructure and laboratory rooms, lived variety and an inspiring ambience to study.This is done by you and your colleague: Inside during your studies to be in demand: inside.You are the focus of us.We offer you individual support and support you on your way to success.Our university has an international orientation and maintains partnerships with renowned universities and companies worldwide.We encourage you to gain international experiences and support you to expand your horizons.",State university,FH JOANNEUM Alte Poststraße 149 8020 Graz,,
PH Styria,https://static.studycheck.de/media/images/institute_logos/rectangle/ph-steiermark/ph-steiermark.jpg,,"The Study Program at the Ph Steiermark is an Austrian Educational and Research and Includes Teacher Training Courses for General Primary Education and General and Vocational Secondary Education, Continuing Education Course for Teachers, Elementary and Leisure Educators, as well as Advanced Training Courses for Teachers,Educators, Education Managers, Schools and Education Networks.The Styrian University of Education IS - Measured by the Number of Its Graduates - by Far the Largest Institution for Teacher Training in Southeastern Austria.",,PH Steiermark Hasnerplatz 12 8010 Graz,,
Met Film School Berlin,https://static.studycheck.de/media/images/institute_logos/rectangle/metfilmschool/metfilmschool-rectangle.png,,,Private university,Met Film School Berlin Oberlandstraße 26-35 12099 Berlin,,
Paracelsus Private Medical University,https://static.studycheck.de/media/images/institute_logos/rectangle/pmu/pmu_rectangle_neu.jpg,http://www.pmu.ac.at/?utm_source=StudyCheck&utm_campaign=StudyCheck&utm_medium=Premiumprofil-Hochschule,"The Paracelsus Private Medical University (PMU) Combines Strong Research Performance and Unique Multi-Professional Education and Training of Its Students with University-Wide Entrepreneurial Sustainability in Order To Make The Best Possible Contribution to People's Health as well as the individual accompaniment of ourWe train this in high quality.We are a sought -after cooperation partner and set standards in selected research areas.We are actively networked nationally and internationally.Our values ​​guide the actions of all employees, students and alumni from the university.",Private university,Paracelsus Medizinische Privatuniversität Strubergasse 21 5020 Salzburg,+43 (0)662 24200,infopoint@pmu.ac.at
August Everding Theater Academy,https://static.studycheck.de/media/images/institute_logos/rectangle/theaterakademie/theaterakademie_Logo_rectangle_250x85.png,,"Initiated by August Everding, The Theater Academy was founded by the Free State of Bavaria in 1993. Even then then, the intention was to provide artistic training for a variety of theatres and one roof.The headquarters of this academy was the Prinzregententheater in Munich.in This Teaching and Learning Theater, Theory and Practice Interpenetrates.This is made possible by Cooperation with Four Munich Universities and Over 40 Productions by Academic Year.",,Theaterakademie August Everding Prinzregentenplatz 12 81675 München,,
